customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
4076.63,29549.0,104.0,17,51,0,1,710.43
12252.6,0.0,115.0,12,17,1,2,552.0
16936.27,39411.0,217.0,4,29,2,4,1122.66
4892.44,21709.0,62.0,28,17,0,3,408.37
9942.3,67890.0,85.0,23,57,0,2,408.0
3735.84,0.0,110.0,3,16,0,1,792.0
13117.52,84311.0,111.0,11,98,4,2,532.8
4574.52,99316.0,114.0,26,53,0,1,754.36
5470.06,54507.0,138.0,20,11,0,1,702.99
2978.85,64586.0,76.0,3,17,0,1,206.84
6410.97,61709.0,82.0,5,41,2,7,275.4
4479.02,94656.0,111.0,12,79,1,1,459.74
2383.73,0.0,69.0,5,40,0,1,496.8
2764.49,61085.0,70.0,27,34,1,1,336.0
7920.11,89284.0,67.0,7,31,3,2,321.6
6889.1,0.0,63.0,6,12,0,2,302.4
3274.19,31686.0,81.0,11,33,0,1,430.99
9951.71,56855.0,255.0,12,1,0,1,1836.0
2521.56,53703.0,67.0,3,45,2,1,67.63
23706.11,0.0,96.0,12,35,1,2,844.48
6047.03,20396.0,76.0,15,60,1,4,364.8
11140.3,27679.0,150.0,30,28,0,3,722.49
4334.06,23904.0,123.0,1,67,3,1,590.4
2799.75,65351.0,69.0,4,54,0,1,481.03
7923.14,0.0,113.0,20,1,0,7,1124.43
3688.11,0.0,63.0,0,54,3,7,669.68
12067.46,0.0,116.0,14,35,0,2,1284.09
2924.98,64459.0,72.0,16,64,0,1,240.26
15014.09,32961.0,190.0,13,53,0,3,912.0
9277.23,71416.0,116.0,10,0,0,3,556.8
6274.12,68964.0,78.0,15,6,0,3,115.09
3886.65,78108.0,98.0,12,34,0,1,470.4
4386.28,10621.0,67.0,28,22,0,5,321.6
11365.27,84910.0,95.0,4,69,0,2,383.17
5610.96,77493.0,70.0,2,35,0,3,307.96
2912.89,81097.0,74.0,7,67,0,1,355.2
6915.73,96610.0,85.0,6,23,0,3,520.36
6262.66,30110.0,159.0,20,71,0,1,466.44
6503.4,22081.0,84.0,1,9,0,6,451.67
8007.4,0.0,112.0,12,93,0,3,537.6
2929.92,98473.0,72.0,19,69,0,1,345.6
5969.55,97431.0,74.0,1,72,0,3,355.2
5473.16,93870.0,69.0,1,96,0,8,331.2
5645.4,50366.0,72.0,9,5,0,9,428.73
6369.26,34498.0,83.0,30,72,0,7,398.4
11833.77,16552.0,103.0,23,53,0,2,494.4
6121.11,26787.0,77.0,7,50,0,5,369.6
5159.37,0.0,74.0,2,42,0,9,831.75
2514.59,43860.0,65.0,15,58,0,1,156.12
8668.61,21474.0,114.0,13,72,2,9,373.43
4960.97,18174.0,66.0,8,16,0,9,395.93
5504.14,0.0,73.0,18,45,0,5,350.4
7507.46,60920.0,64.0,10,61,0,2,231.2
32269.85,41520.0,90.0,18,70,0,2,289.9
5657.03,0.0,152.0,12,89,0,1,729.6
5061.76,0.0,68.0,19,16,0,8,326.4
5912.78,72208.0,73.0,3,84,0,8,350.4
15182.28,53863.0,63.0,12,30,0,2,105.77
10747.03,66446.0,136.0,8,77,0,3,639.46
2050.62,0.0,61.0,18,26,0,1,292.8
2465.44,64997.0,63.0,7,99,1,1,383.44
5343.12,64460.0,66.0,18,42,0,3,316.8
8119.83,46618.0,67.0,22,77,0,2,99.09
4605.27,0.0,64.0,13,64,0,4,307.2
6408.79,49988.0,84.0,6,37,5,5,566.94
2376.53,0.0,91.0,2,8,5,1,436.8
3211.07,16269.0,86.0,6,84,0,1,412.8
5094.52,72006.0,64.0,4,38,0,3,307.2
25755.28,0.0,81.0,3,60,2,2,388.8
8672.23,0.0,245.0,34,83,0,1,2345.41
8044.73,44320.0,67.0,13,79,0,2,321.6
4001.52,19782.0,108.0,13,66,0,1,773.47
16706.12,63933.0,70.0,35,98,0,2,424.88
8544.41,28224.0,109.0,13,13,0,8,523.2
7805.31,21073.0,106.0,25,54,1,3,508.8
6112.76,63243.0,77.0,21,73,0,3,364.24
4772.94,20993.0,133.0,35,90,0,1,638.4
10979.1,94827.0,135.0,5,64,0,4,354.73
5004.26,39161.0,63.0,18,83,1,4,284.0
13223.04,37534.0,84.0,2,0,2,2,403.2
2623.32,80210.0,65.0,30,28,0,1,20.54
17840.2,0.0,62.0,32,59,0,2,385.12
5106.11,30110.0,64.0,2,4,0,5,140.17
17930.6,21708.0,68.0,28,77,0,2,326.4
5457.34,94731.0,67.0,23,65,0,4,321.6
6563.64,32375.0,83.0,17,83,0,6,398.4
4812.53,16531.0,63.0,0,40,0,4,102.88
29328.04,32006.0,94.0,28,7,0,2,56.87
5773.52,81676.0,72.0,21,86,0,8,463.16
6847.12,71038.0,86.0,15,56,0,3,205.44
3595.31,0.0,103.0,20,43,0,1,741.6
22855.61,20832.0,65.0,8,32,0,2,56.37
7859.41,0.0,113.0,19,10,0,7,813.6
4115.58,52405.0,103.0,2,27,0,1,494.4
5029.64,0.0,133.0,3,89,0,1,795.86
4821.42,26583.0,128.0,6,46,4,1,614.4
5004.31,25486.0,65.0,15,53,0,3,72.44
8630.05,24065.0,111.0,30,1,0,5,532.8
9322.09,70435.0,116.0,0,50,0,4,67.88
16727.56,0.0,76.0,33,36,2,2,402.64
3652.53,39679.0,92.0,2,85,0,1,641.39
6158.6,0.0,89.0,13,45,0,5,342.48
4376.08,0.0,69.0,21,70,4,3,331.2
5569.46,53565.0,71.0,27,34,1,6,340.8
2576.51,37574.0,66.0,19,14,1,1,412.1
8346.98,48259.0,108.0,14,79,0,3,73.7
6323.92,78532.0,78.0,25,87,0,3,374.4
5973.14,96163.0,73.0,23,90,0,3,350.4
4706.68,0.0,72.0,0,86,0,7,345.6
8093.41,0.0,114.0,9,72,1,5,722.02
5035.74,72672.0,63.0,7,39,0,5,259.36
9027.87,99002.0,112.0,33,75,1,8,537.6
7288.88,79494.0,91.0,19,30,0,3,396.3
18042.48,35704.0,225.0,21,35,0,8,358.28
4992.06,0.0,71.0,6,5,0,3,653.39
9102.27,26049.0,118.0,17,6,0,6,121.03
2540.41,70125.0,64.0,21,77,0,1,92.81
12941.89,52369.0,110.0,34,49,1,2,528.0
2365.35,0.0,66.0,25,51,2,1,159.64
5720.77,41770.0,72.0,0,60,0,9,476.16
7035.53,0.0,101.0,16,88,0,8,727.2
2636.98,31911.0,67.0,33,27,0,1,321.6
5395.83,70051.0,68.0,15,69,0,8,42.08
8382.63,19683.0,117.0,17,41,1,9,561.6
31161.75,30916.0,112.0,7,65,0,2,200.12
2887.74,0.0,80.0,24,95,0,1,676.94
8714.92,0.0,118.0,14,64,0,4,566.4
25585.73,0.0,116.0,0,45,0,2,830.62
10272.61,60145.0,132.0,8,28,0,3,580.47
4376.36,63774.0,111.0,18,63,0,1,60.04
5318.9,25134.0,67.0,3,0,0,6,321.6
4719.76,37057.0,61.0,5,48,1,6,47.53
4428.03,58577.0,110.0,6,62,0,1,303.87
5879.18,85857.0,73.0,3,19,0,6,100.62
9416.91,70602.0,116.0,8,47,0,3,481.34
8288.16,33816.0,106.0,10,97,2,3,508.8
32654.84,0.0,153.0,7,75,0,2,1101.6
4719.45,89642.0,121.0,11,20,4,1,86.32
3903.47,60068.0,98.0,17,75,0,1,470.4
5457.26,50044.0,139.0,16,14,0,1,667.2
2725.36,36650.0,69.0,2,70,1,1,56.6
4433.97,50653.0,110.0,29,42,0,1,262.87
5332.46,68931.0,66.0,32,30,0,7,309.58
2315.09,0.0,73.0,14,39,1,1,350.4
5411.95,0.0,73.0,1,22,0,5,365.36
9587.33,39266.0,80.0,33,31,0,2,384.0
22103.51,0.0,102.0,35,48,0,2,489.6
9764.95,0.0,98.0,24,11,1,2,705.6
2567.15,40864.0,65.0,2,75,0,1,9.52
2650.62,39035.0,68.0,15,65,0,1,244.56
11264.36,34923.0,98.0,23,82,0,2,639.11
2168.52,0.0,63.0,1,56,0,1,453.6
8610.67,0.0,111.0,27,36,0,9,532.8
2834.65,24506.0,71.0,7,47,0,1,511.2
8930.14,0.0,82.0,25,63,0,2,554.52
5536.39,52220.0,70.0,17,42,1,5,336.0
2840.85,0.0,74.0,17,73,0,1,402.45
8082.88,53554.0,67.0,6,5,0,2,327.02
5254.73,34476.0,67.0,23,49,1,3,5.4
5116.24,0.0,70.0,1,11,0,5,131.4
3034.65,68205.0,76.0,35,14,0,1,99.38
8024.9,0.0,119.0,6,48,1,8,856.8
18211.14,53690.0,154.0,20,97,0,2,739.2
5121.56,0.0,72.0,2,22,0,5,518.4
2150.18,0.0,61.0,28,31,0,1,292.8
5595.39,74454.0,71.0,25,29,0,3,340.8
7562.82,0.0,73.0,23,91,0,2,350.4
5385.85,29664.0,71.0,1,69,0,3,340.8
4718.56,15680.0,64.0,20,29,0,8,260.88
9422.57,47272.0,79.0,17,17,3,2,64.55
3605.86,21585.0,92.0,35,61,0,1,441.6
7762.59,23827.0,106.0,18,77,2,3,37.91
23444.9,69906.0,74.0,34,32,2,2,202.86
2558.18,0.0,72.0,7,77,0,1,345.6
5123.17,89879.0,63.0,17,20,0,3,94.03
2537.74,0.0,69.0,9,89,0,1,331.2
2969.59,46131.0,74.0,27,28,0,1,355.2
4363.12,54514.0,109.0,5,36,3,1,286.23
5884.31,0.0,161.0,29,1,0,1,1159.2
5272.19,96668.0,66.0,2,95,0,3,316.8
5509.9,78879.0,69.0,9,67,1,4,466.57
16313.68,0.0,69.0,21,86,0,2,331.2
5678.05,0.0,76.0,8,44,0,3,364.8
12101.21,0.0,112.0,28,30,0,2,1252.41
2453.57,29735.0,69.0,3,92,0,1,331.2
5075.66,23082.0,65.0,18,90,0,7,312.0
3214.98,53984.0,80.0,15,62,0,1,421.48
12275.34,52135.0,156.0,6,86,0,9,430.51
2722.21,17576.0,71.0,29,70,0,1,398.5
2457.44,29486.0,62.0,19,73,0,1,7.65
3554.85,58557.0,88.0,4,83,0,1,55.51
4929.55,25632.0,63.0,27,52,0,7,351.27
8036.45,0.0,112.0,7,42,0,9,806.4
4276.92,18768.0,68.0,19,53,3,3,647.45
33473.35,33190.0,106.0,18,95,0,2,508.8
5960.58,47945.0,74.0,32,39,0,3,128.44
44795.47,58778.0,126.0,6,62,0,2,302.03
3832.12,15192.0,100.0,1,7,0,1,480.0
6837.93,51859.0,171.0,0,21,0,1,1003.16
5285.27,23422.0,72.0,25,76,0,3,518.4
3096.51,21604.0,79.0,14,28,0,1,379.2
3589.71,79298.0,90.0,22,2,0,1,244.36
2582.41,76731.0,64.0,2,68,0,1,201.46
2487.73,67282.0,62.0,29,27,0,1,297.6
13575.68,48534.0,115.0,29,79,1,2,552.0
4685.5,77678.0,116.0,32,81,0,1,741.42
28685.83,48412.0,104.0,15,23,0,2,707.43
2764.03,33837.0,72.0,29,54,4,1,305.58
6183.11,23712.0,85.0,2,20,0,3,376.13
3873.65,28142.0,105.0,18,50,0,1,701.71
18929.33,72196.0,68.0,8,61,0,2,152.18
5553.3,68197.0,69.0,1,81,0,3,176.82
5011.26,75248.0,63.0,13,71,0,5,104.45
10442.45,0.0,98.0,9,50,0,2,941.72
2199.62,0.0,65.0,5,19,1,1,468.0
8709.85,41546.0,111.0,4,47,0,3,121.31
7484.31,46998.0,96.0,13,98,0,6,460.8
2613.02,57099.0,67.0,20,37,0,1,67.86
9080.64,33897.0,114.0,15,67,0,8,539.84
13770.98,59207.0,116.0,23,21,0,2,556.8
2876.82,40171.0,73.0,8,78,0,1,350.4
5548.03,67798.0,69.0,1,78,0,9,331.2
5097.53,21665.0,136.0,0,25,0,1,765.71
24143.88,0.0,87.0,9,75,0,2,626.4
3538.06,0.0,67.0,12,67,5,7,321.6
29091.24,34226.0,244.0,29,22,0,2,494.4
19834.2,65989.0,123.0,4,43,1,2,115.55
4731.37,30686.0,61.0,22,45,0,3,19.94
35537.85,0.0,113.0,15,6,0,2,799.93
34611.38,20090.0,109.0,10,59,0,2,523.2
20216.31,0.0,183.0,6,16,0,2,878.4
13976.52,77094.0,176.0,25,29,0,5,444.47
5904.09,97413.0,73.0,21,80,0,6,268.82
5595.84,79189.0,69.0,6,97,0,4,331.2
2294.3,0.0,62.0,5,31,0,1,297.6
6273.91,18577.0,86.0,21,76,0,6,412.8
3726.73,0.0,112.0,7,34,1,1,806.4
5285.12,40783.0,67.0,13,43,1,9,321.6
5110.68,0.0,74.0,34,51,0,4,532.8
7126.6,17483.0,183.0,24,63,0,1,1317.6
4601.63,84394.0,114.0,9,38,0,1,691.41
9155.24,0.0,127.0,3,93,0,3,804.81
14808.06,41440.0,62.0,20,80,1,2,297.6
8901.68,0.0,136.0,14,69,1,8,1090.86
5734.6,98132.0,71.0,10,61,0,3,50.59
4177.7,0.0,112.0,4,49,0,1,537.6
27776.29,88220.0,230.0,28,63,0,2,151.53
10364.35,58327.0,129.0,31,5,0,3,347.08
7851.9,25950.0,66.0,27,1,0,2,271.7
4772.94,20993.0,133.0,35,90,0,1,638.4
14226.5,65726.0,177.0,35,90,0,7,849.6
4031.1,0.0,63.0,35,59,3,3,639.46
2794.91,39783.0,72.0,28,43,0,1,345.6
4362.93,58842.0,110.0,6,74,0,1,528.0
9624.52,25629.0,124.0,3,70,2,6,595.2
5015.01,48567.0,130.0,12,15,0,1,624.0
6948.42,0.0,196.0,0,73,2,1,1337.06
2896.92,33746.0,74.0,1,6,1,1,355.2
21903.91,22254.0,79.0,22,75,0,2,125.19
9028.82,65974.0,113.0,3,43,0,3,235.22
5303.76,0.0,76.0,18,63,0,3,395.34
4165.35,17161.0,113.0,1,22,1,1,542.4
5123.77,0.0,74.0,1,62,0,7,772.8
9492.34,0.0,132.0,9,85,0,6,633.6
8204.86,0.0,73.0,9,14,0,2,350.4
9877.3,67752.0,131.0,4,40,4,9,168.52
4815.01,25398.0,64.0,30,80,0,6,307.2
6277.01,0.0,88.0,30,19,0,4,633.6
8260.64,33321.0,105.0,6,2,0,3,504.0
2549.45,0.0,78.0,13,32,0,1,845.65
4502.68,68798.0,114.0,19,69,0,1,92.92
3803.92,20325.0,100.0,4,6,0,1,668.29
8635.4,13129.0,117.0,15,93,0,6,700.9
5510.56,0.0,73.0,24,57,0,4,525.6
3585.88,49080.0,91.0,14,68,0,1,25.3
4889.25,42536.0,63.0,30,57,0,6,375.33
2756.94,29926.0,74.0,25,34,0,1,418.23
3289.55,0.0,86.0,5,55,0,1,398.24
10937.18,21450.0,138.0,15,35,0,4,938.51
7375.57,33345.0,65.0,32,52,0,2,338.62
10110.78,15752.0,90.0,27,37,0,2,339.34
5119.41,40169.0,65.0,1,47,1,3,302.82
8533.83,26049.0,113.0,10,15,1,9,619.17
2224.77,0.0,68.0,3,4,0,1,326.4
8042.8,55411.0,100.0,24,53,0,4,259.56
2554.44,12459.0,70.0,4,41,0,1,336.0
18073.94,64620.0,76.0,24,32,1,2,364.8
2430.51,83140.0,61.0,25,70,0,1,179.16
3167.66,0.0,92.0,20,50,0,1,662.4
5465.6,54422.0,68.0,9,8,0,5,75.5
10357.51,68309.0,131.0,4,67,0,9,306.98
2537.81,56621.0,65.0,27,36,2,1,84.03
2821.95,38977.0,70.0,27,22,0,1,139.49
7757.13,0.0,111.0,32,13,0,3,607.45
4079.13,0.0,114.0,12,43,0,1,631.12
5955.54,0.0,83.0,35,87,0,8,628.02
14158.61,83235.0,70.0,16,33,0,2,336.0
8487.24,0.0,74.0,7,93,0,2,426.66
6285.48,32390.0,80.0,20,36,0,8,91.42
11473.48,66538.0,95.0,14,64,0,2,317.84
2310.88,0.0,64.0,12,24,0,1,460.8
23594.68,76358.0,66.0,25,3,0,2,86.46
2514.59,43860.0,65.0,15,58,0,1,156.12
5380.9,55350.0,67.0,0,13,0,9,321.6
4770.55,12964.0,65.0,2,37,0,4,362.77
6756.65,33288.0,86.0,1,27,2,9,221.86
5936.01,0.0,84.0,31,25,0,3,980.17
3570.76,56168.0,88.0,13,20,0,1,614.68
6019.96,0.0,92.0,3,28,0,4,662.4
5426.86,23105.0,69.0,15,21,0,3,331.2
2730.31,36218.0,68.0,6,83,0,1,145.25
4982.68,52275.0,62.0,6,88,0,5,374.24
8769.27,49665.0,74.0,5,51,0,2,355.2
4220.61,32471.0,110.0,0,87,0,1,528.0
11537.51,0.0,86.0,12,89,1,2,619.2
5887.18,62773.0,73.0,19,57,0,9,80.67
4700.58,76694.0,117.0,34,23,0,1,561.6
10963.96,55687.0,276.0,33,91,0,1,1324.8
2523.17,0.0,70.0,20,81,0,1,504.0
3757.8,36633.0,96.0,20,61,1,1,460.8
12941.73,77060.0,106.0,23,90,0,2,468.57
3764.47,92600.0,94.0,9,48,0,1,842.44
6889.56,0.0,66.0,2,75,0,2,475.2
3623.45,0.0,111.0,6,24,2,1,1171.93
7582.11,64801.0,64.0,23,19,0,2,268.47
8277.75,45257.0,103.0,33,90,0,4,494.4
2576.46,26854.0,66.0,31,70,0,1,475.2
8205.39,85840.0,102.0,14,79,2,4,138.72
19582.47,26463.0,72.0,28,93,0,2,345.6
6481.53,30689.0,81.0,23,51,0,5,467.25
2599.31,29590.0,66.0,17,18,0,1,467.5
9830.34,25965.0,253.0,15,59,0,1,1214.4
10442.65,17269.0,139.0,3,31,0,5,667.2
36057.54,90330.0,137.0,0,86,3,2,192.09
8470.04,0.0,113.0,34,5,0,8,619.97
8278.79,0.0,110.0,20,66,0,7,1002.78
4788.93,0.0,67.0,2,49,1,3,321.6
3088.0,18558.0,80.0,17,23,0,1,384.0
4443.74,46384.0,113.0,33,93,0,1,251.77
7984.09,0.0,72.0,1,77,0,2,866.21
7180.97,42303.0,180.0,24,66,0,1,1210.92
15656.03,71731.0,130.0,12,50,0,2,599.65
5780.18,51066.0,74.0,23,0,0,8,787.99
20714.94,0.0,203.0,20,66,0,2,2027.72
5337.35,0.0,86.0,19,93,3,5,619.2
5050.83,0.0,69.0,16,45,0,6,72.85
5116.62,26173.0,68.0,2,10,1,9,449.82
7268.74,24445.0,63.0,18,15,0,2,302.4
2616.61,72302.0,66.0,6,27,0,1,316.8
3738.44,27208.0,102.0,10,65,0,1,489.6
2725.36,36650.0,69.0,2,70,1,1,56.6
5453.86,30855.0,68.0,7,15,0,7,259.06
6846.15,0.0,95.0,13,20,0,5,456.0
6172.91,99960.0,76.0,19,83,0,4,364.8
10346.32,0.0,98.0,1,15,0,2,470.4
6997.01,55873.0,88.0,30,19,0,6,299.36
4196.26,18052.0,111.0,5,71,0,1,699.17
7858.11,28937.0,104.0,28,23,2,6,117.96
6064.34,0.0,86.0,34,80,0,5,545.24
